[2024-12-21 11:27:56.924] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_2bea61e738f24282b6912f13065a816d.timeline
[2024-12-21 11:27:56.924] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/889ffee2-e061-4465-9af8-895ccfad2ba2.response
[2024-12-21 11:28:01.380] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/5a24e5a5-f313-4ae6-a05e-c0bbc843064f.response
[2024-12-21 11:28:01.381] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_899307e941394d62872bf8533fd04c16.timeline
[2024-12-21 11:28:03.157] [info]  [main] window blur
[2024-12-21 11:28:48.357] [info]  [main] window focus
[2024-12-21 11:28:49.948] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/5888c3f0-92c7-4b35-9c07-050fe46885e3.response
[2024-12-21 11:28:49.949] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_c247f64fba35420ab35d50e21da3b01f.timeline
[2024-12-21 11:28:52.251] [info]  [main] window blur
[2024-12-21 11:28:59.232] [info]  [main] window focus
[2024-12-21 11:29:02.510] [info]  [main] window blur
[2024-12-21 11:29:15.048] [info]  [main] window focus
[2024-12-21 11:29:16.675] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/5004c7cb-0df9-4e12-8308-b3b7f8aeed58.response
[2024-12-21 11:29:16.675] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_93288d36ab444cba9ed0e2d65117bbbf.timeline
[2024-12-21 11:29:18.221] [info]  [main] window blur
[2024-12-21 11:30:29.934] [info]  [main] window focus
[2024-12-21 11:30:30.580] [info]  [main] window blur
[2024-12-21 14:18:19.000] [error] Error: net::ERR_INTERNET_DISCONNECTED
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:115482)
    at SimpleURLLoaderWrapper.emit (node:events:519:28)
[2024-12-21 14:18:19.005] [error] Error: net::ERR_UNEXPECTED
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:115482)
    at SimpleURLLoaderWrapper.emit (node:events:519:28)
[2024-12-21 14:18:22.019] [error] Error: net::ERR_INTERNET_DISCONNECTED
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:115482)
    at SimpleURLLoaderWrapper.emit (node:events:519:28)
[2024-12-21 14:18:22.025] [error] Error: net::ERR_UNEXPECTED
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:115482)
    at SimpleURLLoaderWrapper.emit (node:events:519:28)
[2024-12-21 14:44:31.090] [error] Error: net::ERR_INTERNET_DISCONNECTED
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:115482)
    at SimpleURLLoaderWrapper.emit (node:events:519:28)
[2024-12-21 14:44:31.096] [error] Error: net::ERR_UNEXPECTED
    at SimpleURLLoaderWrapper.<anonymous> (node:electron/js2c/browser_init:2:115482)
    at SimpleURLLoaderWrapper.emit (node:events:519:28)
[2024-12-21 14:44:38.813] [info]  [main] window focus
[2024-12-21 14:44:40.074] [info]  [main] window blur
[2024-12-21 15:02:43.120] [info]  [main] window focus
[2024-12-21 15:02:48.461] [info]  [main] window blur
[2024-12-21 15:02:49.580] [info]  [main] window focus
[2024-12-21 15:02:51.682] [info]  [db] Delete hook failed for remove res_af665f3901ae4956819e360d0c590216: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-12-21 15:03:05.251] [info]  [db] Delete hook failed for remove res_042a572e43b34c358a4b6792f01b2664: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-12-21 15:03:07.875] [info]  [main] window blur
[2024-12-21 15:03:14.161] [info]  [main] window focus
[2024-12-21 15:03:20.172] [info]  [main] window blur
[2024-12-21 15:03:23.757] [info]  [main] window focus
[2024-12-21 15:03:23.765] [info]  [main] window blur
[2024-12-21 15:03:23.766] [info]  [main] window focus
[2024-12-21 15:03:27.045] [info]  [main] window blur
[2024-12-21 15:04:00.957] [info]  [main] window focus
[2024-12-21 15:04:02.462] [info]  [db] Delete hook failed for remove res_d78e0af177e44dc98dc6fc4e629b687c: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-12-21 15:04:03.219] [info]  [db] Delete hook failed for remove res_0185932c415c4f8993ba05a457bba9a3: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-12-21 15:04:13.503] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_28ef7b672b6649b198e525cad0da0a86.timeline
[2024-12-21 15:04:13.503] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/e8ded98b-3e4c-4c0d-91aa-bcfad0558604.response
[2024-12-21 15:04:18.596] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/41798f35-1b28-4282-a271-f7ee96bfd3b4.response
[2024-12-21 15:04:18.597] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_e5d69884fe1145be83c7b3630df896e8.timeline
[2024-12-21 15:04:19.184] [info]  [main] window blur
[2024-12-21 15:04:39.366] [info]  [main] window focus
[2024-12-21 15:04:55.039] [info]  [main] window blur
[2024-12-21 15:05:46.744] [info]  [main] window focus
[2024-12-21 15:05:51.374] [info]  [main] window blur
[2024-12-21 15:05:55.652] [info]  [main] window focus
[2024-12-21 15:06:00.025] [info]  [main] window blur
[2024-12-21 15:06:02.057] [info]  [main] window focus
[2024-12-21 15:06:04.204] [info]  [main] window blur
[2024-12-21 15:06:05.251] [info]  [main] window focus
[2024-12-21 15:06:11.529] [info]  [main] window blur
[2024-12-21 15:06:44.267] [info]  [main] window focus
[2024-12-21 15:06:48.946] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_ef59e4ec86f54e4d86d9d14d90489a09.timeline
[2024-12-21 15:06:48.946] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/4282fe11-1144-428c-961d-3b8a778f1b79.response
[2024-12-21 15:06:54.234] [info]  [main] window blur
[2024-12-21 15:07:27.865] [info]  [main] window focus
[2024-12-21 15:07:29.852] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_92132b2bb3d3446586ead26ae75ce897.timeline
[2024-12-21 15:07:29.853] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/76c2bacd-6aab-46cb-bed9-add793851e8d.response
[2024-12-21 15:07:31.365] [info]  [main] window blur
[2024-12-21 15:07:32.966] [info]  [main] window focus
[2024-12-21 15:07:59.602] [info]  [main] window blur
[2024-12-21 15:09:58.587] [info]  [main] window focus
[2024-12-21 15:09:59.439] [info]  [main] window blur
[2024-12-21 15:18:11.739] [info]  [main] window focus
[2024-12-21 15:18:13.457] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_531a1cb06012467e94ec3eae586b5ac7.timeline
[2024-12-21 15:18:13.457] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/9ea9950d-f2bc-4648-a651-28d1adfdd5ad.response
[2024-12-21 15:18:20.859] [info]  [main] window blur
[2024-12-21 15:18:43.561] [info]  [main] window focus
[2024-12-21 15:18:45.024] [info]  [main] window blur
[2024-12-21 15:18:45.863] [info]  [main] window focus
[2024-12-21 15:18:48.255] [info]  [main] window blur
[2024-12-21 15:18:49.759] [info]  [main] window focus
[2024-12-21 15:18:50.456] [info]  [main] window blur
[2024-12-21 15:18:53.892] [info]  [main] window focus
[2024-12-21 15:18:54.302] [info]  [main] window blur
[2024-12-21 15:19:03.894] [info]  [main] window focus
[2024-12-21 15:19:12.235] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/a7340a6e-f01f-44a5-869e-793d279347fd.response
[2024-12-21 15:19:12.235] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_1765f70a258e491886e02577bbcf7208.timeline
[2024-12-21 15:19:22.080] [info]  [main] window blur
[2024-12-21 15:20:20.347] [info]  [main] window focus
[2024-12-21 15:20:27.943] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_da327396fae54065b1231084f3d7ebc5.timeline
[2024-12-21 15:20:27.944] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/9aa2d070-b131-4773-af4d-31ba85249c73.response
[2024-12-21 15:20:33.396] [info]  [main] window blur
[2024-12-21 15:25:16.567] [info]  [main] window focus
[2024-12-21 15:25:18.415] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_d70a2d9df8c04515a057aa1a32536c05.timeline
[2024-12-21 15:25:18.416] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/54fe2a46-2638-4e82-a612-09c62453e8bd.response
[2024-12-21 15:25:21.350] [info]  [main] window blur
[2024-12-21 15:25:29.602] [info]  [main] window focus
[2024-12-21 15:25:29.609] [info]  [main] window blur
[2024-12-21 15:25:29.610] [info]  [main] window focus
[2024-12-21 15:25:29.674] [info]  [main] window blur
[2024-12-21 15:27:56.146] [info]  [main] window focus
[2024-12-21 15:28:18.350] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_5382f5e9c98b476d9109e42c1c04052c.timeline
[2024-12-21 15:28:18.350] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/fda81f3e-d476-4d43-bbda-c8554906aa63.response
[2024-12-21 15:28:20.702] [info]  [db] Delete hook failed for remove res_e9a9b9114d314db6b396fabdd39e4daa: The "path" argument must be of type string or an instance of Buffer or URL. Received undefined
[2024-12-21 15:28:21.591] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_8fa876817ba64da9ae83898aaf011765.timeline
[2024-12-21 15:28:21.591] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/520ad3c1-57fe-45c2-9d40-b0e81e57e370.response
[2024-12-21 15:28:22.270] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_bb97e4f988a9478ebb1f94504dadad40.timeline
[2024-12-21 15:28:22.271] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/8814ecc4-e8a5-4558-93ae-3e69eca16faf.response
[2024-12-21 15:28:22.616] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_16b0f2f02b2b4c6ebbcfc23e07d07da5.timeline
[2024-12-21 15:28:22.617] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/caa942a2-4e7c-44eb-8b21-9b3269b52b35.response
[2024-12-21 15:28:22.733] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_285758fbf0924c2bb2f3a98112221141.timeline
[2024-12-21 15:28:22.734] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/6e1c7423-bdb9-46b8-9682-c9c8a0a0af98.response
[2024-12-21 15:28:22.836] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/b35123f3-3de3-4fe2-850d-bc4d63928c6b.response
[2024-12-21 15:28:22.836] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_992caff1188943bc99cf3319961da965.timeline
[2024-12-21 15:28:23.049] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/bae7312b-93d0-44d8-b544-cf9adaf47c28.response
[2024-12-21 15:28:23.049] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_8f0b418ce9f44f098f2e26b896ef17e8.timeline
[2024-12-21 15:28:23.100] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_9a8bb3fa62ea426da6f61656545f4da7.timeline
[2024-12-21 15:28:23.100] [info]  [response] Delete body /home/Coldwire/.config/Insomnia/responses/56b82cf7-b02f-424e-a959-3d3aa3bd0a81.response
[2024-12-21 15:28:23.229] [info]  [response] Delete timeline /home/Coldwire/.config/Insomnia/responses/res_5ea37e16d59949f2b28676c7ad29e73a.timeline
